Date,Condition,Dish,Cell,Mito_ID,OMM_vol,IMM_sa,CM_sa,CJ_n,high_k1_sa,IMM_den,CM_den,CJ_den,k1_den,hull_diameter,bounding_thickness
2022-10-08,TTX,1,9,1,0.04609547098605307,1.749491258044011,1.2122132143857336,94,0.4848937435967856,37.95364751937013,26.297881081473456,2039.2458952950326,10.519335917914756,2.472044007128483,0.10800018720328808
2022-10-08,TTX,1,9,2,0.10884882763492557,4.021890828472161,2.587050663902962,193,0.970574577355086,36.94932610538917,23.767372787696182,1773.1013203680425,8.916720542093046,2.479447383751798,0.10600019805133344
2022-10-08,TTX,1,9,3,0.0596500559996855,2.215384102731548,1.6487644649264026,112,0.6938677195809891,37.139681859531336,27.640618894558884,1877.6176840570026,11.632306256085451,3.0564238205619474,0.10000020824372768
2022-10-08,TTX,1,9,4,0.15574395313338288,6.968329983524298,4.1224403506127505,245,1.7215943746507754,44.74221851526045,26.469344508561388,1573.094781986021,11.054004601876006,2.7964038631389627,0.20200019888579843
2022-10-08,TTX,1,9,5,0.03716609655697204,1.6095886491906477,0.735624015609152,59,0.4643535242395187,43.307982228461995,19.792878019393598,1587.4682967999797,12.494008444704694,2.616522162509495,0.10000020824372768
2022-10-08,TTX,1,9,6,0.07770715647069854,2.692432806165141,1.4696284130189523,159,0.6863801488278675,34.648453610323415,18.912394684949167,2046.143588588974,8.832907804143941,2.775914781190129,0.10000020824372768
2022-10-08,TTX,1,9,7,0.04035789167701922,1.4789771720527831,0.9809285459935586,77,0.5212531366415551,36.646541992057266,24.305743071115966,1907.9292004702443,12.9157672757809,2.7757494017766886,0.0920002069324255
2022-10-08,TTX,1,9,8,0.07027695417815666,2.2832256195792864,1.1410281129521596,115,0.7795470456655741,32.488966636077606,16.236163423639262,1636.382813467805,11.092499024493456,2.395578970010969,0.0920002069324255
2022-10-08,TTX,1,9,9,0.04872118982021751,1.5852103680491814,0.9738558302311032,99,0.6050663437572874,32.53636403172111,19.98834252251756,2031.9700804785894,12.418956638579607,2.458729581646181,0.11200021021068096
2023-01-04,TTX,1,18,10,0.05640292155551355,2.19969281059445,1.3895086880639425,73,0.6712804422893673,38.99962537276447,24.635402737007936,1294.2591976933513,11.901518995406501,1.86765411594854,0.10400020889937878
2023-01-04,TTX,1,18,11,0.05134173473294162,1.8814701680214863,1.3752935883618946,87,0.5144141329996095,36.64601863976963,26.787049473797502,1694.527862226274,10.01941472518173,2.5013447303683782,0.10400020889937878
2023-01-04,TTX,1,18,12,0.03480491726540356,1.3767930133632715,0.843986653289104,71,0.5391913396299898,39.55742813190991,24.249063626651264,2039.941639814634,15.491815007586627,2.6130396035374632,0.10000020824372768
2023-01-04,TTX,1,18,13,0.0798999837296487,2.91975171266355,2.069652191457851,112,1.001527261220734,36.54258206788733,25.903036456938096,1401.7524756821679,12.534761766779868,2.45100006071911,0.11200021021068096
2023-01-04,TTX,1,18,14,0.05036354871855956,2.148551657024666,1.410980244445053,76,0.8573785115165247,42.66084721374885,28.015901983592553,1509.027896836688,17.023790684562517,2.0385827567379957,0.10400020889937878
2023-01-04,TTX,1,18,15,0.04373566920451777,1.9856750866437378,1.1046145201582342,44,0.6883792641194261,45.40173096147854,25.25660496911136,1006.0438264759632,15.739538839577616,1.7698622541597502,0.10400020889937878
2022-10-08,Control,1,2,1,0.05050119127493859,1.499812371399333,0.9784819929415668,39,0.39350490806093685,29.698554302096646,19.375423989792935,772.2590104395003,7.791992587236555,2.659237109679846,0.10200020484626292
2022-10-08,Control,1,2,2,0.03239833476508566,0.9199223607658509,0.5157045157934982,24,0.22320667422143056,28.394124804130765,15.91762414743771,740.7788139118743,6.8894489744568945,2.312309409335435,0.10200020484626292
2022-10-08,Control,1,2,3,0.05522892531454402,1.576871445087912,1.0653242870131705,78,0.3945067437059178,28.55155040781968,19.2892452812698,1412.3034181050673,7.143118238479071,2.7747165522681976,0.0920002069324255
2022-10-08,Control,1,2,4,0.0469357191451053,1.1744441533603427,0.6530656804530858,44,0.2820112698252213,25.022396050425062,13.91404440686387,937.4523454934332,6.008457417118981,2.6019899477840163,0.10000020824372768
2023-01-04,Control,1,3,5,0.05780277816830421,1.759319938642999,1.0974290918751413,46,0.46963961571446294,30.436598281148207,18.98574993540552,795.8095001257883,8.124862343934653,3.690798760999439,0.10000040382146835
2023-01-04,Control,1,3,6,0.06582953569392018,1.9979865328608777,1.587359625056766,66,0.9553624675074676,30.350913336996324,24.11318275792381,1002.5894806074953,14.512672122578893,1.9106504998675988,0.10800018720328808
2023-01-04,Control,1,3,7,0.05005493818096977,1.6498693086653349,1.11443678270469,52,0.5588107235582461,32.961169639254365,22.264272481478844,1038.8585400305162,11.163947931329155,2.446122299603383,0.11200021021068096
2023-01-04,Control,1,3,8,0.05942234127161604,2.0001471787509755,1.4612006219679512,75,0.8552784721060789,33.65985142874832,24.590088352272907,1262.1515476339007,14.39321396302194,2.775538197832233,0.10400020889937878
