cell_id,spines_high_width,spines_low_width
1,1.5633802816901408,1.3371647509578544
3,1.5039370078740157,1.3184713375796178
4,1.4968944099378882,1.3026315789473684
5,1.6363636363636365,1.3661971830985915
6,1.8491620111731844,1.5490196078431373
7,1.5673469387755101,1.401015228426396
11,1.5227272727272727,1.1884057971014492
12,1.6387665198237886,1.4233128834355828
13,2.0575396825396823,2.089080459770115
14,1.5450236966824644,1.461111111111111
15,1.6860068259385665,1.506726457399103
16,1.5,1.3585657370517927
17,1.4603960396039604,1.445
19,1.4901960784313726,1.4666666666666666
20,1.5085714285714287,1.443661971830986
21,1.5,1.3867924528301887
22,1.393063583815029,1.3918918918918919
23,1.7380952380952381,1.597938144329897
24,1.2954545454545454,1.2596153846153846
28,1.7530864197530864,1.4788732394366197
35,1.5512820512820513,1.5275590551181102
38,1.604026845637584,1.5358851674641147
39,1.6130952380952381,1.5497076023391814
41,1.945054945054945,1.7738095238095237
42,1.5655737704918034,1.4285714285714286
43,1.554054054054054,1.6102941176470589
44,1.761467889908257,1.5209580838323353
45,1.794701986754967,1.5869565217391304
46,2.1548387096774193,2.163265306122449
47,1.7396449704142012,1.3636363636363635
48,1.4298245614035088,1.3541666666666667
49,1.8468468468468469,1.783132530120482
50,1.7485380116959064,1.4545454545454546
51,1.4821428571428572,1.460093896713615
52,1.5405405405405406,1.380952380952381
53,1.5828025477707006,1.6575757575757575
54,1.3258426966292134,1.3666666666666667
55,1.7307692307692308,1.3958333333333333
56,1.6694915254237288,1.3333333333333333
57,1.1721311475409837,1.248780487804878
58,1.5688073394495412,1.4197530864197532
